experiment,stage,epoch,train_loss,train_acc,train_f1,train_recall,val_loss,val_acc,val_f1,val_recall,test_accuracy,test_f1,test_recall,status
baseline,train,1,1.1838,0.6594,0.2543,0.2498,1.0521,0.6717,0.2699,0.3272,,,,UNDERFITTING
baseline,train,2,0.8362,0.7075,0.3003,0.2847,0.8376,0.705,0.2876,0.3404,,,,GOOD FIT
baseline,train,3,0.784,0.7189,0.3454,0.322,0.8498,0.7043,0.2634,0.2781,,,,GOOD FIT
baseline,train,4,0.7276,0.7351,0.4136,0.3882,0.7505,0.7461,0.3955,0.3503,,,,GOOD FIT
baseline,train,5,0.6995,0.7485,0.4342,0.4083,0.7726,0.7343,0.4044,0.3994,,,,GOOD FIT
baseline,train,6,0.6639,0.7568,0.456,0.4334,0.7726,0.7252,0.3494,0.3788,,,,GOOD FIT
baseline,train,7,0.6376,0.7736,0.5099,0.4782,0.8454,0.6978,0.3455,0.4179,,,,OVERFITTING
baseline,test,final,,,,,,,,,0.7535,0.4213,0.4202,FINAL
contrast_baseline,train,1,1.1643,0.6641,0.2554,0.2503,0.8366,0.7193,0.2496,0.2392,,,,GOOD FIT
contrast_baseline,train,2,0.8219,0.7068,0.2939,0.2786,0.8416,0.7082,0.2872,0.3261,,,,GOOD FIT
contrast_baseline,train,3,0.7672,0.7217,0.3371,0.3147,0.8326,0.7167,0.2969,0.2894,,,,GOOD FIT
contrast_baseline,train,4,0.7079,0.7438,0.4169,0.3923,1.0377,0.7115,0.3752,0.3723,,,,GOOD FIT
contrast_baseline,train,5,0.6723,0.7564,0.4519,0.4292,0.6813,0.7533,0.4398,0.4168,,,,GOOD FIT
contrast_baseline,train,6,0.6249,0.7729,0.4877,0.4627,0.735,0.7311,0.3568,0.3494,,,,GOOD FIT
contrast_baseline,train,7,0.5932,0.7876,0.5216,0.4943,0.7318,0.7389,0.4511,0.4729,,,,GOOD FIT
contrast_baseline,train,8,0.5192,0.8166,0.5853,0.5607,0.7307,0.7461,0.4634,0.4435,,,,GOOD FIT
contrast_baseline,train,9,0.4461,0.8439,0.6331,0.6121,0.8331,0.7422,0.3929,0.3515,,,,OVERFITTING
contrast_baseline,train,10,0.3643,0.8729,0.7005,0.6807,0.7981,0.748,0.4713,0.463,,,,OVERFITTING
contrast_baseline,train,11,0.2753,0.9056,0.7466,0.7263,1.0999,0.7239,0.4056,0.3828,,,,OVERFITTING
contrast_baseline,train,12,0.2149,0.9274,0.8058,0.7904,1.0441,0.7467,0.4653,0.4308,,,,OVERFITTING
contrast_baseline,test,final,,,,,,,,,0.7515,0.5,0.495,FINAL
hybrid,train,1,1.1515,0.6662,0.2607,0.2557,0.8259,0.7252,0.2446,0.2403,,,,GOOD FIT
hybrid,train,2,0.8236,0.7042,0.2872,0.2738,0.8961,0.6893,0.3223,0.3284,,,,UNDERFITTING
hybrid,train,3,0.7602,0.7255,0.3348,0.3136,0.8525,0.6704,0.3139,0.3314,,,,GOOD FIT
hybrid,train,4,0.7151,0.7344,0.3778,0.3551,0.8169,0.7343,0.3048,0.2847,,,,GOOD FIT
